"place"
"36km W of Ovalle, Chile"
"88km WSW of Panguna, Papua New Guinea"
"25km SE of Yujing, Taiwan"
"125km NW of L'Esperance Rock, New Zealand"
"Balleny Islands region"
"88km N of Yelizovo, Russia"
"94km SSE of Taron, Papua New Guinea"
"50km NNE of Al Hoceima, Morocco"
"86km E of Old Iliamna, Alaska"
"215km SW of Tomatlan, Mexico"
"52km SE of Shizunai, Japan"
"12km WNW of Charagua, Bolivia"
"74km NW of Rumoi, Japan"
"227km SE of Sarangani, Philippines"
"30km W of Imphal, India"
"Western Indian-Antarctic Ridge"
"42km WSW of Ashkasham, Afghanistan"
"Southern East Pacific Rise"
"38km N of Tarakan, Indonesia"
"12km SW of Tres Picos, Mexico"
"255km WNW of Lautoka, Fiji"
"107km SE of Amahai, Indonesia"
"104km W of Murghob, Tajikistan"
"Southeast Indian Ridge"
"64km N of Taltal, Chile"
"125km SSW of Tarauaca, Brazil"
"211km S of Tarauaca, Brazil"
"173km WNW of Iberia, Peru"
"176km WNW of Saumlaki, Indonesia"
"115km SW of Dadali, Solomon Islands"
"10km WSW of Nidri, Greece"
"140km WSW of Makurazaki, Japan"
"84km NW of Coquimbo, Chile"
"81km NW of Coquimbo, Chile"
"99km SE of Atka, Alaska"
"128km NW of Sabang, Indonesia"
"39km SW of Ovalle, Chile"
"107km WNW of Coquimbo, Chile"
"80km WNW of Dili, East Timor"
"45km E of Farkhar, Afghanistan"
"183km E of Bouvet Island, Bouvet Island"
"34km NE of Port-Olry, Vanuatu"
"Pacific-Antarctic Ridge"
"26km SSW of Ovalle, Chile"
"29km N of Sorong, Indonesia"
"22km WSW of Illapel, Chile"
"55km W of Illapel, Chile"
"79km W of La Ligua, Chile"
"78km WNW of Coquimbo, Chile"
"93km NW of Valparaiso, Chile"
"61km WNW of Illapel, Chile"
"54km WNW of Illapel, Chile"
"70km SW of Ovalle, Chile"
"25km WNW of Illapel, Chile"
"71km W of Illapel, Chile"
"56km WSW of Illapel, Chile"
"55km W of Illapel, Chile"
"48km W of Illapel, Chile"
"156km ESE of Kimbe, Papua New Guinea"
"146km ENE of Bitung, Indonesia"
"95km SW of Topolobampo, Mexico"
"182km SSE of L'Esperance Rock, New Zealand"
"213km ESE of Kirakira, Solomon Islands"
"177km SE of Gizo, Solomon Islands"
"179km SW of Dadali, Solomon Islands"
"70km SSW of Redoubt Volcano, Alaska"
"228km W of Abepura, Indonesia"
"73km SSW of Nikolski, Alaska"
"83km WNW of Lata, Solomon Islands"
"127km NE of Bathsheba, Barbados"
"155km SSW of Dadali, Solomon Islands"
"101km E of Shikotan, Russia"
"23km NW of Santa Monica, Philippines"
"97km SE of Yilkiqi, China"
"256km WNW of Chichi-shima, Japan"
"73km WNW of Talcahuano, Chile"
"Southern Mid-Atlantic Ridge"
"74km ENE of Mutsu, Japan"
"Izu Islands, Japan region"
"189km WNW of Chichi-shima, Japan"
"99km NNW of Chirikof Island, Alaska"
"175km WNW of Pangai, Tonga"
"Southern Mid-Atlantic Ridge"
"159km ESE of Kirakira, Solomon Islands"
"205km ESE of Kirakira, Solomon Islands"
"182km W of Lata, Solomon Islands"
"Pacific-Antarctic Ridge"
"32km SE of Ofunato, Japan"
"33km NNE of Ramechhap, Nepal"
"19km SE of Kodari, Nepal"
"143km SW of Panguna, Papua New Guinea"
"130km SSW of Kokopo, Papua New Guinea"
"108km SSW of Kokopo, Papua New Guinea"
"125km SSW of Kokopo, Papua New Guinea"
"27km SSE of Ndoi Island, Fiji"
"21km SSE of Kodari, Nepal"
"44km E of Lamjung, Nepal"
"1km E of Banepa, Nepal"
"36km E of Khudi, Nepal"
"192km WSW of Bella Bella, Canada"
"67km NW of Kaikoura, New Zealand"
"160km SSE of Lata, Solomon Islands"
"72km SW of Yonakuni, Japan"
"64km SE of Su'ao, Taiwan"
"181km SSW of Sigave, Wallis and Futuna"
"103km NNE of Hihifo, Tonga"
"91km ENE of Hihifo, Tonga"
"106km NE of Hihifo, Tonga"
"53km SE of Kokopo, Papua New Guinea"
"45km ESE of Putre, Chile"
"75km NNW of Talcahuano, Chile"
"135km NW of Kota Ternate, Indonesia"
"70km NW of Luwuk, Indonesia"
"9km NNE of Aratoca, Colombia"
"48km NW of Sikabaluan, Indonesia"
"130km N of Nebe, Indonesia"
"218km SW of Tomatlan, Mexico"
"141km E of Miyako, Japan"
"85km ESE of Lakatoro, Vanuatu"
"187km W of Lata, Solomon Islands"
"83km ENE of Miyako, Japan"
"146km NNW of Visokoi Island, South Georgia and the South Sandwich Islands"
"31km ESE of Taitung City, Taiwan"
"Northern Mid-Atlantic Ridge"
"102km W of El Aguilar, Argentina"
"91km NW of La Punta, Argentina"
"54km SE of Ndoi Island, Fiji"
"80km NNE of Port-Vila, Vanuatu"
"236km S of Punta de Burica, Panama"
"109km SSE of Cagayancillo, Philippines"
"156km WNW of Tobelo, Indonesia"
"84km ENE of Keelung, Taiwan"
"22km ESE of Punta de Burica, Panama"
"61km SSW of Nueva Concepcion, Guatemala"
"115km W of Panguna, Papua New Guinea"
"106km WSW of Sangay, Philippines"
"157km NW of Kota Ternate, Indonesia"
"15km N of Omachi, Japan"
"123km WNW of Tobelo, Indonesia"
"Prince Edward Islands region"
"183km NE of Gisborne, New Zealand"
"154km NW of Kota Ternate, Indonesia"
"79km NNE of Finschhafen, Papua New Guinea"
"Mid-Indian Ridge"
"144km NE of Ndoi Island, Fiji"
"74km S of Intipuca, El Salvador"
"152km ENE of Hachinohe, Japan"
"Southern East Pacific Rise"
"Southern East Pacific Rise"
"111km WSW of El Dorado, Mexico"
"23km WSW of Weiyuan, China"
"96km WNW of Willow, Alaska"
"157km SSW of Gizo, Solomon Islands"
"56km NW of San Antonio de los Cobres, Argentina"
"43km NW of Piti Village, Guam"
"132km SE of Modayag, Indonesia"
"229km SW of Tomatlan, Mexico"
"Easter Island region"
"43km ENE of Tambo, Peru"
"South Napa"
"23km WNW of Hacienda La Calera, Chile"
"40km E of Dehloran, Iran"
"78km E of Mutsu, Japan"
"Kepulauan Barat Daya, Indonesia"
"11km W of Wenping, China"
"Federated States of Micronesia region"
"24km SE of Playa Vicente, Mexico"
"72km W of Gustavus, Alaska"
"99km NNE of Ndoi Island, Fiji"
"96km SE of Kuril'sk, Russia"
"76km W of Hihifo, Tonga"
"78km SSE of Pondaguitan, Philippines"
"139km E of Iwaki, Japan"
"9km ENE of Port-Vila, Vanuatu"
"4km W of Puerto Madero, Mexico"
