"","country","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"28","Montana",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"29","Nevada",0,0,0,0,0,0,1,0,4,4,1,0,0,2,1,2,0,1,1,1,0,2,0,0,0,2,0,3,0,0,0,0,4,0,1,0,1,1,0,0,0,7,0,0,3,0,1,0,2,4,0
"30","New Hampshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","New Mexico",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"32","New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","northern Alaska",0,1,0,0,0,0,0,0,1,1,0,0,1,2,9,3,0,3,8,4,1,0,5,2,1,2,3,3,3,1,1,1,0,2,0,0,5,1,2,8,4,7,1,2,1,0,0,0,0,0,0
"34","Northern California",0,0,0,0,0,0,3,2,9,2,2,4,3,1,2,1,0,1,2,3,1,1,14,6,2,1,1,2,5,0,0,3,0,3,2,1,1,2,1,3,1,3,0,0,1,2,0,0,0,0,0
"35","off the coast of Northern California",0,0,0,0,0,0,6,4,1,13,9,7,5,5,1,0,5,9,4,1,0,0,4,4,5,1,1,2,4,5,3,1,3,2,2,3,0,3,7,4,1,1,1,3,1,0,0,0,0,0,0
"36","off the coast of Oregon",0,1,0,1,0,1,12,15,10,19,12,4,6,10,9,14,8,9,11,15,7,13,7,14,2,8,1,6,3,9,4,7,3,4,6,10,13,7,5,6,15,26,9,12,10,9,0,0,0,0,0
"37","Off the coast of Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,3,0
"38","off the coast of Southeastern Alaska",0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,4,0,0,0,0
"39","off the coast of Washington",0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,3,0,0,0,0,0
"40","off the west coast of Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"41","offshore Central California",0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","offshore Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"43","offshore Northern California",1,0,0,0,0,1,1,8,5,3,1,3,5,11,2,2,2,7,1,2,0,0,1,2,2,8,0,7,0,1,5,2,4,3,3,4,5,0,4,3,4,3,1,2,1,2,0,0,0,0,0
"44","offshore Oregon",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Ohio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Oklahoma",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,4,0
"47","Oregon",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,9,4,6,2
"48","Pennsylvania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Russia-Georgia border region",0,0,0,0,0,0,0,3,0,2,1,0,0,0,1,0,0,4,1,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Russia-Georgia-Azerbaijan border region",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","South Carolina",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","South Dakota-Minnesota border region",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","South Georgia and the South Sandwich Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,108,219,124
"54","South Georgia Island region",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,9,2,2,0,0,2,0,0,0,1,1,1,2,0,92,7
"55","South Georgia Rise",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"56","south of Alaska",1,0,2,1,0,1,5,0,2,2,4,3,5,5,6,7,9,10,15,4,6,8,4,6,2,1,6,4,2,4,3,4,3,2,6,7,0,2,3,6,6,5,1,3,6,3,0,0,0,0,0
"57","Southeastern Alaska",0,0,0,0,0,3,5,0,0,1,0,1,2,1,0,1,1,0,1,0,2,2,2,1,1,0,2,0,0,0,1,0,1,4,1,0,0,1,0,0,0,1,2,2,1,0,6,0,0,0,0
