"","X","t","pd","Country","Mag","R","PR","S","n1","pdr"
"1288",1288,8,0.821403826522624,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.534950980367193
"1289",1289,9,0.856002096760857,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.577393595082403
"1290",1290,10,0.883897870074488,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.615962692237494
"1291",1291,11,0.906389577417289,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.65101178771242
"1292",1292,12,0.924524113194687,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.682862133824249
"1293",1293,13,0.939145563796434,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.711805663855404
"1294",1294,14,0.950934496268903,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.738107667850055
"1295",1295,15,0.960439635849503,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.762009224204447
"1296",1296,16,0.968103406819239,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.783729409338565
"1297",1297,17,0.974282525492724,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.803467305702526
"1298",1298,18,0.97926460386273,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.821403826522624
"1299",1299,19,0.983281536729128,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.837703374012255
"1300",1300,20,0.986520295426759,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.852515346246526
"1301",1301,21,0.98913163055492,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.865975506512228
"1302",1302,22,0.991237088783886,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.878207227684319
"1303",1303,23,0.99293467034135,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.889322623034627
"1304",1304,24,0.994303390510952,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.899423573837491
"1305",1305,25,0.995406957461498,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.908602663191166
"1306",1306,26,0.996296737594346,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.916944024614176
"1307",1307,27,0.9970141464334,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.924524113194687
"1308",1308,28,0.997592576343614,"India",7,208.929613085404,4.64406699149607,-1.69897000433602,0.215328504483492,0.931412406361063
