"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"4108","2017-02-06T15:43:08.200Z",-37.391,178.5548,38.79,5,"mb",NA,172,0.261,0.8,"us","us20008hya","2017-05-09T01:24:28.040Z","135km NE of Opotiki, New Zealand","earthquake",13.4,6.6,0.126,20,"reviewed","us","us","New Zealand"
"4131","2017-02-05T11:05:33.970Z",-42.7363,172.7954,24.52,4.5,"mb",NA,83,0.29,1,"us","us20008hs0","2017-05-09T01:24:27.040Z","48km N of Amberley, New Zealand","earthquake",3.9,7.6,0.271,4,"reviewed","us","us","New Zealand"
"4133","2017-02-05T09:35:58.470Z",-45.4707,166.3252,10.17,4.8,"mb",NA,108,0.582,1.1,"us","us20008hrr","2017-05-09T01:24:27.040Z","109km W of Te Anau, New Zealand","earthquake",8.7,5.9,0.149,14,"reviewed","us","us","New Zealand"
"4136","2017-02-04T22:05:02.010Z",-30.2046,-177.5827,10,4.9,"mb",NA,121,1.002,0.68,"us","us20008hpx","2017-04-27T01:38:44.040Z","108km SSE of Raoul Island, New Zealand","earthquake",7.1,1.8,0.096,34,"reviewed","us","us","New Zealand"
"4142","2017-02-04T12:21:20.630Z",-33.0197,-178.5457,60.96,4.5,"mb",NA,235,5.211,1.02,"us","us20008kfl","2017-04-27T01:38:44.040Z","179km S of L'Esperance Rock, New Zealand","earthquake",14,10.2,0.14,15,"reviewed","us","us","New Zealand"
"4159","2017-02-03T09:20:02.250Z",-33.1702,-179.4858,60.97,4.6,"mb",NA,161,4.133,0.61,"us","us20008hdc","2017-04-27T01:38:42.040Z","200km SSW of L'Esperance Rock, New Zealand","earthquake",8.9,12.4,0.125,19,"reviewed","us","us","New Zealand"
"4169","2017-02-02T05:05:38.140Z",-38.0332,177.7831,63.52,4.9,"mww",NA,139,0.626,0.93,"us","us20008ftt","2017-04-27T01:38:41.040Z","44km E of Opotiki, New Zealand","earthquake",4.6,5.3,0.089,12,"reviewed","us","us","New Zealand"
"4183","2017-02-01T10:21:29.670Z",-42.3715,173.8741,22.32,4.9,"mww",NA,129,0.23,0.76,"us","us10007wlk","2017-04-27T01:38:40.040Z","16km ENE of Kaikoura, New Zealand","earthquake",4.1,3.2,0.078,16,"reviewed","us","us","New Zealand"
"4200","2017-01-31T02:47:07.280Z",-31.6542,-177.1879,10,4.9,"mb",NA,149,2.485,0.53,"us","us20008jxw","2017-04-27T01:38:39.040Z","164km E of L'Esperance Rock, New Zealand","earthquake",11,2,0.177,10,"reviewed","us","us","New Zealand"
"4201","2017-01-31T02:44:29.590Z",-31.7542,-177.1092,13.86,4.8,"mb",NA,186,2.599,0.54,"us","us20008jxa","2017-04-27T01:38:39.040Z","173km ESE of L'Esperance Rock, New Zealand","earthquake",8.8,6.5,0.155,13,"reviewed","us","us","New Zealand"
"4215","2017-01-30T13:53:25.240Z",-44.1394,168.679,10,4.9,"mb",NA,98,0.729,0.31,"us","us10007w6b","2017-04-27T01:38:38.040Z","72km NNW of Wanaka, New Zealand","earthquake",3,1.9,0.324,6,"reviewed","us","us","New Zealand"
"4223","2017-01-30T05:44:32.580Z",-29.8339,-177.5124,55.61,4.5,"mb",NA,122,0.69,0.91,"us","us20008jnl","2017-04-27T01:38:38.040Z","73km SSE of Raoul Island, New Zealand","earthquake",11.9,8.5,0.121,20,"reviewed","us","us","New Zealand"
"4232","2017-01-29T19:09:27.420Z",-30.2743,-177.4455,10,4.5,"mb",NA,202,1.108,1.42,"us","us20008j0f","2017-04-27T01:38:37.040Z","119km SSE of Raoul Island, New Zealand","earthquake",4.7,2,0.15,13,"reviewed","us","us","New Zealand"
"4236","2017-01-29T14:59:51.980Z",-30.0938,-177.4531,18,5.9,"mww",NA,45,0.941,0.79,"us","us10007w1e","2017-04-27T01:38:37.040Z","101km SSE of Raoul Island, New Zealand","earthquake",8.9,1.7,NA,NA,"reviewed","us","us","New Zealand"
"4261","2017-01-28T09:04:20.130Z",-32.6324,-178.8894,21.03,4.5,"mb",NA,166,3.476,0.43,"us","us20008iyc","2017-04-19T18:31:03.040Z","133km S of L'Esperance Rock, New Zealand","earthquake",8.7,9,0.136,16,"reviewed","us","us","New Zealand"
"4310","2017-01-25T15:44:28.320Z",-30.2499,-177.3448,10,4.5,"mb",NA,200,1.122,0.68,"us","us20008inx","2017-04-19T18:30:59.040Z","121km SSE of Raoul Island, New Zealand","earthquake",9.5,2,0.156,12,"reviewed","us","us","New Zealand"
"4318","2017-01-25T07:02:59.660Z",-31.6075,-178.3067,102.11,4.9,"mb",NA,196,2.377,0.75,"us","us10007vb6","2017-04-19T18:30:59.040Z","59km ESE of L'Esperance Rock, New Zealand","earthquake",9.2,11.1,0.11,26,"reviewed","us","us","New Zealand"
