"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"204023","1979-06-19T06:54:21.900Z",11.409,-86.56,65,4.9,"mb",NA,NA,NA,NA,"us","usp00011e0","2014-11-06T23:22:03.089Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"204372","1979-05-13T22:43:16.300Z",12.068,-86.367,209,4.9,"mb",NA,NA,NA,NA,"us","usp00010mq","2016-11-09T22:30:41.304Z","Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","Nicaragua"
"204535","1979-04-28T00:39:14.300Z",11.622,-87.949,33,4.7,"mb",NA,NA,NA,NA,"us","usp00010at","2014-11-06T23:22:00.530Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"204564","1979-04-24T11:13:08.300Z",11.831,-87.28,62,4.8,"mb",NA,NA,NA,NA,"us","usp000108m","2014-11-06T23:22:00.449Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"204714","1979-04-09T14:29:06.300Z",11.194,-86.333,78,5,"mb",NA,NA,NA,NA,"us","usp0000zx4","2014-11-06T23:21:59.815Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"204860","1979-03-23T20:31:25.000Z",11.094,-86.482,71,4.6,"mb",NA,NA,NA,NA,"us","usp0000zmr","2014-11-06T23:21:59.059Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"204936","1979-03-17T04:25:05.400Z",12.083,-87.095,33,4.5,"mb",NA,NA,NA,NA,"us","usp0000zen","2014-11-06T23:21:58.560Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"205689","1978-12-20T02:55:04.400Z",11.526,-87.47,49,5.1,"mb",NA,NA,NA,NA,"us","usp0000y05","2014-11-06T23:21:55.008Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"205691","1978-12-19T16:34:03.900Z",11.531,-87.26,79,4.9,"mb",NA,NA,NA,NA,"us","usp0000y01","2014-11-06T23:21:55.005Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"205693","1978-12-19T09:02:37.800Z",11.239,-87.995,33,4.9,"mb",NA,NA,NA,NA,"us","usp0000xzx","2014-11-06T23:21:55.001Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
"205694","1978-12-19T08:57:25.200Z",11.753,-87.356,32,5.6,"ms",NA,NA,NA,NA,"us","usp0000xzw","2016-11-10T00:14:28.840Z","near the coast of Nicaragua","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of Nicaragua"
