"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"216651","1975-11-05T00:35:57.200Z",32.035,78.809,28,5.2,"mb",NA,NA,NA,NA,"us","usp0000deh","2014-11-06T23:21:32.493Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"217002","1975-09-19T17:59:33.000Z",31.973,78.476,33,5.1,"mb",NA,NA,NA,NA,"us","usp0000cvm","2014-11-06T23:21:32.073Z","western Xizang-India border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang-India border region"
"217082","1975-09-08T22:06:18.700Z",31.534,84.874,22,4.9,"mb",NA,NA,NA,NA,"us","usp0000crc","2014-11-06T23:21:31.894Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"217163","1975-08-27T07:40:16.300Z",34.771,80.492,16,4.8,"mb",NA,NA,NA,NA,"us","usp0000cmg","2014-11-06T23:21:31.776Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"217417","1975-07-29T02:40:58.200Z",32.555,78.457,51,5.5,"mb",NA,NA,NA,NA,"us","usp0000c7f","2014-11-06T23:21:31.510Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"217493","1975-07-21T07:26:37.100Z",32.122,78.533,33,4.7,"mb",NA,NA,NA,NA,"us","usp0000c3u","2014-11-06T23:21:31.327Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"217550","1975-07-19T06:10:54.900Z",31.92,78.605,40,5.3,"mb",NA,NA,NA,NA,"us","usp0000c1j","2017-04-13T21:48:52.872Z","western Xizang-India border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang-India border region"
"217619","1975-07-08T14:51:31.900Z",35.499,87.681,33,4.8,"mb",NA,NA,NA,NA,"us","usp0000bxz","2014-11-06T23:21:31.141Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"217661","1975-07-02T11:06:29.500Z",32.536,78.592,33,4.9,"mb",NA,NA,NA,NA,"us","usp0000bvn","2014-11-06T23:21:31.093Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"217695","1975-06-28T06:07:50.400Z",29.099,95.623,33,5,"mb",NA,NA,NA,NA,"us","usp0000btc","2014-11-06T23:21:31.045Z","eastern Xizang-India border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","eastern Xizang-India border region"
"218002","1975-06-10T09:44:17.500Z",32.554,78.626,28,4.9,"mb",NA,NA,NA,NA,"us","usp0000bdh","2014-11-06T23:21:30.594Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"218042","1975-06-06T10:50:05.700Z",35.253,80.758,33,4.8,"mb",NA,NA,NA,NA,"us","usp0000bbg","2014-11-06T23:21:30.550Z","Xinjiang-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Xinjiang-Xizang border region"
"218223","1975-05-19T19:47:44.800Z",35.16,80.801,26,5.5,"mb",NA,NA,NA,NA,"us","usp0000b35","2015-05-13T18:53:10.000Z","Xinjiang-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Xinjiang-Xizang border region"
"218297","1975-05-11T06:48:38.500Z",31.963,78.581,26,4.8,"mb",NA,NA,NA,NA,"us","usp0000azf","2014-11-06T23:21:30.264Z","western Xizang-India border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang-India border region"
"218316","1975-05-08T11:56:07.000Z",32.383,78.508,33,4.8,"mb",NA,NA,NA,NA,"us","usp0000ayr","2014-11-06T23:21:30.237Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"218397","1975-04-30T03:06:27.000Z",35.963,80.148,29,5.1,"mb",NA,NA,NA,NA,"us","usp0000aun","2014-11-06T23:21:30.096Z","Xinjiang-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Xinjiang-Xizang border region"
"218410","1975-04-29T03:07:59.600Z",35.829,80.036,33,5,"mb",NA,NA,NA,NA,"us","usp0000au7","2014-11-06T23:21:30.082Z","Xinjiang-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Xinjiang-Xizang border region"
"218415","1975-04-28T11:58:34.200Z",35.88,80.016,31,5.9,"ms",NA,NA,NA,NA,"us","usp0000au1","2014-11-06T23:21:30.068Z","Xinjiang-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Xinjiang-Xizang border region"
"218633","1975-04-09T21:45:40.700Z",31.586,78.512,33,4.5,"mb",NA,NA,NA,NA,"us","usp0000aj9","2014-11-06T23:21:29.697Z","western Xizang-India border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang-India border region"
"218639","1975-04-09T03:28:28.600Z",30.41,84.889,33,4.9,"mb",NA,NA,NA,NA,"us","usp0000aj2","2014-11-06T23:21:29.690Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"218715","1975-04-01T16:18:44.000Z",31.877,78.47,33,4.7,"mb",NA,NA,NA,NA,"us","usp0000aex","2014-11-06T23:21:29.587Z","western Xizang-India border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang-India border region"
"218811","1975-03-18T18:44:16.400Z",35.167,86.571,33,5.8,"ms",NA,NA,NA,NA,"us","usp0000a9z","2014-11-06T23:21:29.421Z","western Xizang","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang"
"218902","1975-03-10T03:07:03.400Z",32.21,78.781,49,4.9,"mb",NA,NA,NA,NA,"us","usp0000a69","2014-11-06T23:21:29.295Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219101","1975-02-11T06:41:33.200Z",32.153,78.477,33,4.7,"mb",NA,NA,NA,NA,"us","usp00009w6","2014-11-06T23:21:28.837Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219115","1975-02-09T23:26:35.800Z",29.931,96.903,33,4.7,"mb",NA,NA,NA,NA,"us","usp00009vc","2014-11-06T23:21:28.811Z","eastern Xizang-India border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","eastern Xizang-India border region"
"219183","1975-02-02T19:14:09.700Z",32.595,78.529,21,5.1,"mb",NA,NA,NA,NA,"us","usp00009s4","2014-11-06T23:21:28.705Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219197","1975-02-01T14:19:23.800Z",32.491,93.394,33,4.9,"mb",NA,NA,NA,NA,"us","usp00009rm","2014-11-06T23:21:28.689Z","Xizang-Qinghai border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Xizang-Qinghai border region"
"219206","1975-01-31T14:04:11.000Z",32.417,78.479,45,4.6,"mb",NA,NA,NA,NA,"us","usp00009r8","2014-11-06T23:21:28.676Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219215","1975-01-29T15:49:25.900Z",31.879,78.485,33,4.9,"mb",NA,NA,NA,NA,"us","usp00009qq","2014-11-06T23:21:28.656Z","western Xizang-India border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","western Xizang-India border region"
"219229","1975-01-27T15:58:06.100Z",32.717,78.476,33,4.5,"mb",NA,NA,NA,NA,"us","usp00009q0","2014-11-06T23:21:28.632Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219232","1975-01-27T13:41:38.800Z",32.316,78.496,33,4.8,"mb",NA,NA,NA,NA,"us","usp00009px","2014-11-06T23:21:28.628Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219234","1975-01-27T09:23:37.700Z",32.029,78.637,33,4.9,"mb",NA,NA,NA,NA,"us","usp00009pu","2014-11-06T23:21:28.625Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
"219235","1975-01-27T08:10:18.700Z",32.464,78.728,33,5,"mb",NA,NA,NA,NA,"us","usp00009ps","2014-11-06T23:21:28.623Z","Kashmir-Xizang border region","earthquake",NA,NA,NA,NA,"reviewed","us","us","Kashmir-Xizang border region"
