"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"172079","1987-08-08T05:41:54.160Z",-58.688,158.224,33,5.6,"mw",NA,NA,NA,1.3,"us","usp00037bn","2016-11-09T23:11:20.743Z","Macquarie Island region","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","Macquarie Island region"
"172201","1987-07-28T09:50:54.500Z",-52.436,140.057,10,4.9,"mb",NA,NA,NA,1.2,"us","usp000370j","2014-11-07T00:40:42.301Z","west of Macquarie Island","earthquake",NA,NA,NA,3,"reviewed","us","us","west of Macquarie Island"
"172202","1987-07-28T09:49:48.570Z",-52.601,139.774,10,5.3,"mw",NA,NA,NA,1.2,"us","usp000370h","2016-11-09T00:57:25.104Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"172517","1987-06-30T11:27:19.350Z",-56.748,147.151,33,4.5,"mb",NA,NA,NA,1,"us","usp0003672","2014-11-07T00:40:34.591Z","west of Macquarie Island","earthquake",NA,NA,NA,4,"reviewed","us","us","west of Macquarie Island"
"173122","1987-05-05T10:00:31.480Z",-57.631,157.819,33,4.7,"mb",NA,NA,NA,1.4,"us","usp00034r7","2014-11-07T00:40:22.645Z","Macquarie Island region","earthquake",NA,NA,NA,5,"reviewed","us","us","Macquarie Island region"
"173167","1987-05-01T00:46:11.630Z",-57.868,157.803,33,5,"mb",NA,NA,NA,1.2,"us","usp00034mb","2014-11-07T00:40:19.312Z","Macquarie Island region","earthquake",NA,NA,NA,5,"reviewed","us","us","Macquarie Island region"
"173973","1987-02-24T00:51:26.750Z",-56.608,147.329,10,6,"mw",NA,NA,NA,1.1,"us","usp00032qm","2016-11-09T21:57:14.864Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"174195","1987-02-07T10:46:22.550Z",-59.145,159.015,33,5.6,"mw",NA,NA,NA,1,"us","usp0003287","2016-11-09T21:49:40.685Z","Macquarie Island region","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","Macquarie Island region"
"174655","1986-12-26T19:51:46.080Z",-54.263,143.82,10,5.8,"mw",NA,NA,NA,1.1,"us","usp000315t","2016-11-10T00:17:46.539Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"174894","1986-12-03T04:04:07.400Z",-52.015,139.398,10,4.9,"mb",NA,NA,NA,1.2,"us","usp00030k1","2014-11-07T00:39:26.500Z","west of Macquarie Island","earthquake",NA,NA,NA,3,"reviewed","us","us","west of Macquarie Island"
"174903","1986-12-01T18:51:05.330Z",-56.822,147.258,10,5.9,"mw",NA,NA,NA,1.3,"us","usp00030j7","2016-11-10T00:06:16.129Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"175010","1986-11-21T06:49:07.360Z",-59.459,148.09,10,4.6,"ms",NA,NA,NA,0.8,"us","usp000307s","2014-11-07T00:39:21.976Z","west of Macquarie Island","earthquake",NA,NA,NA,1,"reviewed","us","us","west of Macquarie Island"
"176695","1986-07-05T19:57:38.620Z",-60.721,153.771,10,6.1,"mw",NA,NA,NA,1.1,"us","usp0002vr4","2016-11-09T00:43:25.228Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"177147","1986-05-31T05:36:30.170Z",-57.334,147.519,10,5.6,"mw",NA,NA,NA,0.7,"us","usp0002umf","2016-11-09T22:39:07.893Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"179602","1985-11-26T01:19:04.950Z",-55.102,146.345,10,5.5,"mw",NA,NA,NA,1.4,"us","usp0002n7t","2016-11-10T00:03:40.865Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"181435","1985-07-08T19:37:35.010Z",-59.732,149.798,10,6.3,"mw",NA,NA,NA,1.3,"us","usp0002gm3","2016-11-09T22:56:24.571Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"181533","1985-07-03T03:11:31.500Z",-54.82,146.436,10,6.4,"mw",NA,NA,NA,1.4,"us","usp0002gc2","2016-11-09T22:54:07.779Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"181712","1985-06-16T11:43:15.160Z",-56.345,146.998,10,5.5,"mw",NA,NA,NA,1.1,"us","usp0002fwm","2016-11-09T22:46:28.571Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"182341","1985-04-25T09:06:38.140Z",-60.693,154.332,10,6,"mw",NA,NA,NA,1.3,"us","usp0002e4w","2016-11-09T22:22:49.656Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"182350","1985-04-24T16:21:59.420Z",-51.302,160.282,10,5.2,"mb",NA,NA,NA,1.6,"us","usp0002e49","2014-11-07T00:36:28.171Z","north of Macquarie Island","earthquake",NA,NA,NA,1,"reviewed","us","us","north of Macquarie Island"
"182353","1985-04-24T10:52:11.250Z",-59.724,148.776,10,5.2,"mb",NA,NA,NA,0.7,"us","usp0002e41","2014-11-07T00:36:28.148Z","west of Macquarie Island","earthquake",NA,NA,NA,3,"reviewed","us","us","west of Macquarie Island"
"183545","1985-01-11T06:25:48.380Z",-54.158,143.967,10,5.8,"mw",NA,NA,NA,1.3,"us","usp0002ay7","2016-11-09T21:38:46.421Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"183645","1985-01-03T22:44:09.490Z",-54.37,155.444,10,5.4,"mw",NA,NA,NA,1.4,"us","usp0002apz","2016-11-09T21:35:25.069Z","Macquarie Island region","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","Macquarie Island region"
"183686","1984-12-31T21:42:10.540Z",-60.135,153.192,10,6,"mw",NA,NA,NA,1.1,"us","usp0002akt","2016-11-10T00:20:08.907Z","west of Macquarie Island","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","west of Macquarie Island"
"184800","1984-10-04T00:24:02.230Z",-54.363,144.008,10,5.2,"mb",NA,NA,NA,1.4,"us","usp00027wq","2014-11-07T00:35:32.527Z","west of Macquarie Island","earthquake",NA,NA,NA,3,"reviewed","us","us","west of Macquarie Island"
