Year,Mo,Dy,Tsu,EQ,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Agent,Num,De,Num,De,$Mill,De,Num,De,,
1917,4,1,,,*,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,1,T,2,1,3,1,,,,,
1917,4,,,,*,Calbuco,Chile-S,Chile,-41.326,-72.614,2003,Stratovolcano,3,,,,,,,,,,
1917,6,7,,Eq,*,San Salvador,El Salvador,El Salvador,13.736,-89.286,1893,Stratovolcano,3,"S,L",325,3,,,,,,,
1918,7,18,Tsu,,*,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.138,125.491,-5,Submarine volcano,3,,,,,,,,,,
1918,10,12,,,*,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4,,,,,,,1,,,
1919,2,19,,,*,Popocatepetl,Mexico,Mexico,19.023,-98.622,5426,Stratovolcano,1,A,,2,,,,,,,
1919,4,3,Tsu,,*,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.138,125.491,-5,Submarine volcano,,,,,,,,1,,,
1919,5,19,,,*,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,4,M,5110,4,,,,,9000,3,
1919,5,22,Tsu,,*,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,3,T,4,1,,3,,,10,1,
1919,7,6,,,*,Nasu,Honshu-Japan,Japan,37.12,139.97,1917,Stratovolcano,,G,2,1,,,,,,,
1919,9,29,Tsu,,*,Mauna Loa,Hawaiian Is,United States,19.475,-155.608,4170,Shield volcano,0,,,,,,,,,,
1920,7,25,,,*,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,3,P,33,1,,,,,,,
1920,10,29,,,*,Izalco,El Salvador,El Salvador,13.813,-89.633,1950,Stratovolcano,3,P,,1,,,,,,,
1921,11,26,,,*,Nasu,Honshu-Japan,Japan,37.12,139.97,1917,Stratovolcano,,G,1,1,,,,,,,
1923,3,11,,,*,Papandayan,Java,Indonesia,-7.32,107.73,2665,Stratovolcano,1,G,1,1,,,,,,,
1923,6,,,,*,Tangkubanparahu,Java,Indonesia,-6.77,107.6,2084,Stratovolcano,,G,3,1,,,,,,,
1923,7,1,,,*,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,2,,1,1,,,,,,,
1924,5,10,,,*,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,2,T,1,1,,,,,,,
1926,5,24,,,*,Tokachi,Hokkaido-Japan,Japan,43.42,142.68,2077,Stratovolcano,3,"M,T",144,3,207,3,,,5080,3,
1927,8,7,Tsu,,*,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,,,,,,,,,,,
1927,9,5,,,*,Esjufjoll,Iceland-SE,Iceland,64.27,-16.65,1760,Stratovolcano,1,M,1,1,,,,,,,
1928,1,23,,,*,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,2,S,48,1,,,,,,,
1928,1,,,,*,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,P,,1,,,,,,,
1928,3,28,Tsu,,*,Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,,,,,,,,,,,
1928,5,13,,,*,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,2,T,40,1,,,,,,,
1928,8,4,Tsu,,*,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3,"W,T",98,2,,,,,,,
1928,11,2,,,*,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,1,L,5,1,,,,,,,
1929,1,6,,,*,Calbuco,Chile-S,Chile,-41.326,-72.614,2003,Stratovolcano,3,,,,,,,,,,
1929,6,17,,,*,Komaga-take,Hokkaido-Japan,Japan,42.07,140.68,1140,Stratovolcano,4,T,2,1,4,1,,,,,
1929,8,2,,,*,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,2,T,2,1,,,,,,,
1929,11,2,,,*,Santa Maria,Guatemala,Guatemala,14.756,-91.552,3772,Stratovolcano,3,"P,M",200,3,,,,,,,
1930,3,17,Tsu,,*,Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,2,,,,,,,,,,
1930,8,20,,,*,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,3,T,6,1,,,,,,,
1930,9,11,Tsu,,*,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,3,P,5,1,20,1,,2,,,
1930,11,25,,,*,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,3,P,1369,4,,,,3,1109,3,
1931,8,20,,,*,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,3,,3,1,,,,,,,
1932,1,21,,,*,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,4,,,1,,,,,,,
1932,2,,,,*,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,,m,,1,,,,,,,
1932,10,1,,,*,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,3,M,2,1,7,1,,,,,
1933,1,8,Tsu,Eq,*,Kharimkotan,Kuril Is,Russia,49.12,154.508,1145,Stratovolcano,3,W,,,,,,,,,
1933,5,10,,,*,Hakone,Honshu-Japan,Japan,35.22,139.02,1438,Complex volcano,,G,1,1,,,,,,,
1933,12,24,,,*,Kuchinoerabu-jima,Ryukyu Is,Japan,30.43,130.22,649,Stratovolcano,4,T,8,1,26,1,,,,,
1933,12,25,Tsu,,*,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565,Stratovolcano,2,,,,,,,,,,
1934,,,,,*,Hood,US-Oregon,United States,45.374,-121.694,3426,Stratovolcano,,G,1,1,,,,,,,
1936,2,,,,*,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,3,"P,T",2,1,,,,,,,
1937,2,9,,,*,Llaima,Chile-C,Chile,-38.692,-71.729,3125,Stratovolcano,2,F,3,1,,,,,,,
1937,5,29,Tsu,Eq,*,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,4,"P,T,W,I",507,3,,,,1,,1,
1938,1,28,Tsu,,*,Nyamuragira,Africa-C,"Congo, DRC",-1.408,29.2,3058,Shield volcano,1,,,,,,,1,,,
1938,5,9,,,*,Bandai,Honshu-Japan,Japan,37.6,140.08,1819,Stratovolcano,,m,2,1,,,,,,,
1938,6,5,,,*,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,,,1,,,,,,,
1938,7,16,,,*,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,1,T,,1,,,,,,,
1939,8,17,,,*,Tori-shima,Izu Is-Japan,Japan,30.48,140.32,403,Stratovolcano,2,,2,1,,,,,,,
1939,10,13,,,*,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,1,T,10,1,,,,1,,,
1940,6,20,,,*,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,2,,1,1,2,1,,,,,
1940,7,12,,,*,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,815,Stratovolcano,2,L,11,1,20,1,,,,,
1940,7,24,,,*,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.751,35.902,2890,Stratovolcano,2,,,,,,,1,,,
1941,7,13,,,*,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,2,T,1,1,1,1,,,,,
1941,9,21,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,2,,,,,,,1,,,
1943,2,20,,,*,Michoacan-Guanajuato,Mexico,Mexico,19.48,-102.25,3860,Cinder cone,4,E,3,1,,,,,,,
1943,4,13,,,*,"Azul, Cerro",Galapagos,Ecuador,-0.9,-91.42,1690,Shield volcano,3,T,1,1,,,,,,,
1944,3,27,,,*,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,2,"T,L,I",27,1,,,,,,,
1944,6,10,,,*,Cleveland,Aleutian Is,United States,52.82,-169.95,1730,Stratovolcano,3,T,1,1,,,,,,,
1944,6,23,,,*,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,2,T,1,1,,,,,,,
1944,8,20,Tsu,,*,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,2,,,,,,,,,,
1944,8,26,,,*,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,2,G,1,1,,,,,,,
1944,12,4,,,*,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,2,T,117,3,250,3,,,,,
1946,1,,,,*,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,2,,1,1,,,,,,,
1946,2,,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,2,F,6,1,,,,2,81,2,
1946,10,29,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,2,,,,,,,1,,,
1947,1,7,,,*,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,,,1,,,,,,,
1947,7,6,,,*,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,2,,11,1,,,,,,,
1947,9,16,,,*,Akagi,Honshu-Japan,Japan,36.53,139.18,1828,Stratovolcano,,m,699,3,,,,,,,
1947,11,2,,,*,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,4,L,1,1,,,,,,,
1948,4,7,,,*,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,2,,,,,,,2,,,
1949,1,1,,,*,Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,3,M,54,2,,,,2,,,
1949,5,26,,,*,Purace,Colombia,Colombia,2.32,-76.4,4650,Stratovolcano,2,T,17,1,,,,,,,
1949,6,,,,*,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1332,Stratovolcano,3,P,2,1,,,,,,,
1950,8,28,,,*,Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,1,P,6,1,,,,,,,
1950,9,15,,,*,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1332,Stratovolcano,3,P,68,2,,,,,,,
