"","time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","country"
"103303","2003-05-01T00:27:04.700Z",39.007,40.464,10,6.4,"mwb",504,30.9,NA,1.09,"us","usp000bwbc","2017-04-26T18:01:20.348Z","eastern Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","us","eastern Turkey"
"103447","2003-04-17T22:34:24.590Z",38.158,27,10,5.2,"mwc",352,17.4,NA,1.17,"us","usp000bvdg","2016-11-09T22:19:17.622Z","western Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","western Turkey"
"103548","2003-04-10T00:40:15.110Z",38.221,26.958,10,5.8,"mwb",471,15.1,NA,1.12,"us","usp000buu9","2017-04-26T18:01:18.616Z","near the coast of western Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","us","near the coast of western Turkey"
"104433","2003-01-27T05:26:23.040Z",39.5,39.878,10,6.1,"mwc",384,NA,NA,1.14,"us","usp000bpa1","2017-04-26T18:01:05.662Z","eastern Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","eastern Turkey"
"104970","2002-12-14T01:02:43.540Z",37.524,36.201,10,4.9,"mb",231,NA,NA,1.02,"us","usp000bknf","2014-11-07T01:17:21.551Z","central Turkey","earthquake",NA,NA,NA,70,"reviewed","us","us","central Turkey"
"105330","2002-11-19T01:25:36.440Z",38.022,38.431,10,4.6,"mb",142,NA,NA,1.04,"us","usp000bhz5","2014-11-07T01:17:09.265Z","eastern Turkey","earthquake",NA,NA,NA,38,"reviewed","us","us","eastern Turkey"
"105901","2002-10-22T15:52:13.020Z",39.423,40.177,10,4.7,"mb",73,NA,NA,1.12,"us","usp000bf11","2014-11-07T01:16:47.643Z","eastern Turkey","earthquake",NA,NA,NA,38,"reviewed","us","us","eastern Turkey"
"105984","2002-10-17T00:53:02.060Z",39.443,40.275,10,4.8,"mwr",174,NA,NA,1.13,"us","usp000beqc","2014-11-07T01:16:45.968Z","eastern Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","csem","eastern Turkey"
"107417","2002-07-08T09:42:03.980Z",37.104,30.851,124.4,4.5,"mb",46,NA,NA,0.79,"us","usp000b7r2","2014-11-07T01:16:01.789Z","western Turkey","earthquake",NA,5.5,NA,5,"reviewed","us","us","western Turkey"
"108821","2002-03-14T12:56:58.870Z",39.354,44.125,10,4.6,"mb",36,NA,NA,1.02,"us","usp000b09n","2014-11-07T01:15:08.837Z","Turkey-Iran border region","earthquake",NA,NA,NA,11,"reviewed","us","us","Turkey-Iran border region"
"109010","2002-02-28T00:46:30.900Z",37.281,44.138,37.4,4.7,"mb",96,NA,NA,1.15,"us","usp000azax","2014-11-07T01:14:58.421Z","Turkey-Iran-Iraq border region","earthquake",NA,7.8,NA,42,"reviewed","us","us","Turkey-Iran-Iraq border region"
"109304","2002-02-03T11:54:35.530Z",38.589,31.171,10,4.8,"mb",223,NA,NA,1.35,"us","usp000axpy","2014-11-07T01:14:51.543Z","western Turkey","earthquake",NA,NA,NA,89,"reviewed","us","us","western Turkey"
"109305","2002-02-03T11:39:55.380Z",38.551,31.181,10,5.3,"mwc",314,NA,NA,1.21,"us","usp000axpx","2016-11-09T21:47:57.203Z","western Turkey","earthquake",NA,NA,NA,NA,"reviewed","us","hrv","western Turkey"
